,Year,Gold,Silver,Bronze,Category,Sports
705,1974,CHN,JPN,JPN,Women,Javelin throw
706,1978,CHN,JPN,CHN,Women,Javelin throw
707,1982,JPN,CHN,JPN,Women,Javelin throw
708,1986,CHN,JPN,KOR,Women,Javelin throw
709,1990,CHN,CHN,JPN,Women,Javelin throw
710,1994,UZB,KOR,CHN,Women,Javelin throw
711,1998,KOR,CHN,IND,Women,Javelin throw
712,2002,KOR,CHN,CHN,Women,Javelin throw
713,2006,THA,CHN,JPN,Women,Javelin throw
714,2010,JPN,CHN,CHN,Women,Javelin throw
715,2014,CHN,CHN,IND,Women,Javelin throw
716,2018,CHN,CHN,KOR,Women,Javelin throw
717,1966,JPN,ROC,PHI,Women,Heptathlon
718,1970,ISR,ROC,PHI,Women,Heptathlon
719,1974,JPN,CHN,CHN,Women,Heptathlon
720,1978,CHN,IND,CHN,Women,Heptathlon
721,1982,CHN,CHN,JPN,Women,Heptathlon
722,1986,CHN,CHN,KOR,Women,Heptathlon
723,1990,CHN,CHN,TPE,Women,Heptathlon
724,1994,SYR,CHN,TPE,Women,Heptathlon
725,1998,CHN,KAZ,TPE,Women,Heptathlon
726,2002,CHN,IND,IND,Women,Heptathlon
727,2006,KAZ,IND,IND,Women,Heptathlon
728,2010,UZB,JPN,IND,Women,Heptathlon
729,2014,UZB,CHN,UZB,Women,Heptathlon
730,2018,IND,CHN,JPN,Women,Heptathlon
731,2018,IND,KAZ,CHN,Mixed,4 × 400 m relay
